CORE;CPU;DRAM;DURATION;PSYS;UNCORE;EXIT_CODE,INPUT
15570944;17551652;1523312;1308673;6075729;36316;0,800
20469368;22983828;1807125;1694991;7737774;61889;0,832
23662232;26687493;2504144;1908259;9094093;58654;0,864
30485091;34731234;3489249;2388988;11498933;160095;0,896
33108740;37755091;3431998;2717230;12886991;186157;0,928
40906145;46753604;4371144;3461481;16440449;215392;0,960
43763194;49973261;4461536;3810792;17874344;109497;0,992
48138426;70641543;26257135;10659360;52668811;182067;0,1024
55891458;63909382;5850143;4954305;23197938;119568;0,1056
66944286;76171985;6935468;5694044;26778618;116272;0,1088
72448300;82167819;7169904;5928216;27777334;122375;0,1120
83485260;95987730;10855930;7137983;34257846;145568;0,1152
82705904;94552980;8982398;7260886;34021764;139587;0,1184
92923773;106465303;10917758;8069766;38232080;144225;0,1216
103612711;117855656;10849521;8696783;40772112;188110;0,1248
97262202;126979106;31161541;15126463;74302911;233214;0,1280
117622868;134534445;12914335;10338982;48428099;190124;0,1312
127649759;146618582;15935445;11065382;52645557;203613;0,1344
151523172;172435655;15825155;12819705;60013763;218871;0,1376
157472375;183673847;24628904;14328090;69276861;237243;0,1408
166970032;190175722;17986831;14092688;66251174;234496;0,1440
184892227;211516671;22362491;15524863;73931635;270385;0,1472
195874742;222985025;21145088;16410774;77370103;248474;0,1504
175379312;257697765;94028507;39043828;194681630;582884;0,1536
226289643;258200878;24825193;19371604;91274241;301391;0,1568
237294131;273766939;31515972;20971070;100381152;329650;0,1600
263003843;299858425;29166795;22127989;104789649;354857;0,1632
253426963;307798712;53917464;28860006;140706854;407958;0,1664
299365932;341745463;33860631;25344037;120216062;404418;0,1696
311062741;359907221;43485973;27624169;132610317;428222;0,1728
337056266;384521416;38205224;28318631;134314658;449767;0,1760
272558629;380580752;120458310;52343748;260137518;709593;0,1792
377928964;432246025;44093576;32234817;153317661;495910;0,1824
402362923;466395779;58785494;35577650;171750537;498046;0,1856
423147049;483675642;49547969;35787043;170368827;551940;0,1888
354017465;452728516;100760668;51497769;251811489;688658;0,1920
474099922;542761061;56958838;40337077;192464412;606810;0,1952
478060238;560740203;78419660;45097761;218684437;587401;0,1984
509001321;586036524;64148212;45243887;215492551;675536;0,2016
407431330;612054402;239590268;97486802;479351190;1209286;0,2048
558362768;643457337;71769469;49620904;237349978;718260;0,2080
558435338;665215338;102950176;57656282;280675002;726439;0,2112
644770261;739376892;80505226;54885640;262658507;784666;0,2144
495418104;656964504;169532891;82225052;404374575;1122983;0,2176
703313751;808418524;90688610;60600860;290304310;860532;0,2208
685691421;818730143;130812653;70975031;345926056;1009397;0,2240
776536708;892798923;101425888;66608421;319236610;943662;0,2272
578491134;842522562;298043610;126206558;631780731;1628475;0,2304
811266661;939836889;113458816;73088527;351605851;1028440;0,2336
812758906;971588211;158933431;83691721;409313039;1152890;0,2368
919748683;1058595068;123380971;78873759;379393072;1065365;0,2400
697927962;932407098;253602805;116712392;578022385;1507320;0,2432
1007904647;1160263876;135744586;86379329;416096957;1156979;0,2464
938982887;1136866657;199272317;104199526;509561073;1403133;0,2496
1079605757;1245865036;150093244;93725654;451734317;1262509;0,2528
837499260;1239476929;463510349;189071347;950932441;2383051;0,2560
1128279155;1311057374;166656495;102240797;494698074;1378597;0,2592
1036197848;1276041228;242926075;125671214;615621776;1670467;0,2624
