CORE;CPU;DRAM;DURATION;PSYS;UNCORE;EXIT_CODE,INPUT
3769095;4269398;422851;282167;1347226;7325;0,800
4028310;4503589;376952;299965;1405758;8422;0,832
4472706;4994982;431518;328606;1552669;14832;0,864
5007006;5592454;519041;351843;1675654;13062;0,896
5765244;6495161;613402;444012;2107478;17883;0,928
6074752;6801374;667723;429067;2058589;18371;0,960
6405135;7137432;618223;469754;2225763;19410;0,992
7385113;8275125;838194;532109;2519525;21240;0,1024
7923380;8880471;781065;567005;2698540;22583;0,1056
8946876;10052586;1005246;647721;3114372;24536;0,1088
9473426;10605869;1016538;648697;3123649;22522;0,1120
10754062;12077544;1228086;757807;3657644;31128;0,1152
11672090;13134548;1352475;836035;4043020;31738;0,1184
12886747;14480127;1592708;879926;4307911;29724;0,1216
13713161;15404013;1670833;943094;4604481;32959;0,1248
14761742;16617878;1775875;1057424;5129808;34973;0,1280
16328694;18334304;1955318;1144938;5562303;39001;0,1312
17706254;19894053;2293207;1202418;5930648;36560;0,1344
18923231;21247504;2467706;1257353;6240645;43152;0,1376
20789437;23322572;2616815;1371785;6766401;45776;0,1408
22202335;24981198;2885002;1470241;7292340;48950;0,1440
22663577;25655085;3160209;1603468;7951517;53467;0,1472
23982665;27215201;3344962;1741235;8599526;64270;0,1504
25220394;28623950;3536551;1840654;9034156;76477;0,1536
27774160;31641155;4125844;2056319;10231969;90087;0,1568
28646411;32626625;4154469;2091605;10377964;93079;0,1600
30085555;34295322;4412465;2222209;11043978;87647;0,1632
32401407;36943509;4772754;2432942;12043487;81421;0,1664
34176365;38799217;4994738;2442313;12189239;79407;0,1696
34873385;39713521;5091296;2595183;12851652;75256;0,1728
36777677;41980178;5407091;2762253;13683009;110413;0,1760
38606957;44128000;5960678;2859114;14246607;119873;0,1792
42143141;48299314;6450972;3280199;16268086;135315;0,1824
44763618;51000480;6668623;3292074;16393451;122131;0,1856
45946965;52389453;6990461;3368647;16832781;109374;0,1888
48482114;55559428;7419842;3791320;18759535;132141;0,1920
51422048;58530795;7654521;3716471;18560866;152710;0,1952
52303272;59790191;8032023;3936240;19612560;146972;0,1984
54378462;62169336;8371682;4088461;20386239;156554;0,2016
58491244;66760266;9215309;4438820;21623114;145385;0,2048
61067105;69693425;9264808;4544683;22669986;150451;0,2080
63601949;72965512;10086888;4895277;24437681;201415;0,2112
67869149;77496018;10385898;5067977;25298153;186767;0,2144
69908390;80185891;11119295;5380275;26874260;178100;0,2176
74663567;85057888;11156282;5488742;27354666;184508;0,2208
76077320;87089621;11757477;5815837;28933275;225219;0,2240
81671605;93441106;12727323;6127740;30665327;225280;0,2272
83644195;95683166;13058377;6283265;31284221;213439;0,2304
86125512;98789725;13808741;6551465;32837074;266357;0,2336
89772170;102905498;14279016;6838854;34210484;252380;0,2368
94321414;107976652;14860863;7144871;35738983;242309;0,2400
98131158;112412126;15525779;7412487;37052151;300963;0,2432
100845384;115560495;15903340;7715931;38538476;255370;0,2464
105418615;120774776;16779987;7949739;39834310;305297;0,2496
108028288;123850330;17252947;8196334;41056902;326842;0,2528
111912555;128260353;17932144;8502908;42374891;286742;0,2560
115579660;132557644;18562941;8776657;44007761;342955;0,2592
120241880;137765577;18999219;9159537;45786016;314635;0,2624
123985949;142217715;20004649;9434124;47329652;341064;0,2656
129135717;148290147;20926582;9943436;49754206;346862;0,2688
134360068;154066927;21733221;10125817;50899162;395812;0,2720
138872996;159281575;22102239;10667048;53379746;377441;0,2752
143666320;164763494;23101870;10898766;54745892;412658;0,2784
148405381;170368766;24017089;11427687;57122962;415099;0,2816
155231170;177833285;24843381;11708306;58822847;398253;0,2848
157794274;181099634;25791621;12008171;60339262;453490;0,2880
161475050;185354201;26318475;12344452;62005091;426390;0,2912
167337096;192333919;27586843;12867600;64643145;489318;0,2944
173919781;199690529;28743884;13216987;66657728;446898;0,2976
180281765;207077046;29653672;13785750;69390691;493163;0,3008
186761424;214317079;30290572;14274135;71647094;519957;0,3040
190076906;218115043;31381206;14450387;72144286;549742;0,3072
197984539;227701566;32761634;15376978;77282883;522704;0,3104
206412436;236899845;33410620;15777567;79239665;597105;0,3136
211409127;242460744;34355381;15964980;80298805;610411;0,3168
214261415;246118388;35270051;16379109;82315585;612242;0,3200
222593851;255749590;36659330;17084287;85905908;590086;0,3232
230661275;264850030;37625575;17629320;88531695;666868;0,3264
237465884;273021640;39244895;18309576;92138375;672728;0,3296
244515122;280660109;39905842;18641160;93560063;684019;0,3328
251799404;289297355;41483658;19262673;96915280;689573;0,3360
255500505;293687237;42670118;19492797;98332695;700987;0,3392
262014711;301228172;43643443;20097276;101283310;687438;0,3424
270944313;311742061;45077216;21021065;105598973;760252;0,3456
280995375;322887052;46468692;21514656;108397794;755674;0,3488
287045041;329715770;47588196;21867273;110250145;742002;0,3520
294426432;338258960;48940243;22394849;112964005;834654;0,3552
304101333;349823018;50659294;23574789;117989444;836546;0,3584
312458917;358816403;51229849;23886178;120151670;819517;0,3616
321271821;369245148;53108934;24663681;124034106;898130;0,3648
325766256;374251910;53903548;24810016;125063034;899839;0,3680
335175351;385290029;55808268;25692909;129454441;895078;0,3712
343891331;395749170;57525793;26587347;133900658;998655;0,3744
352665418;405171754;58457492;26824876;135310811;977293;0,3776
358777158;412825359;60307646;27566872;139127146;1034544;0,3808
366819923;422123309;61833094;28267622;142223207;1030393;0,3840
377186474;433699634;63253012;28799922;145423700;1067441;0,3872
386491320;445048604;65135820;29972190;151029093;1082029;0,3904
403406071;464364412;67352977;31317878;157602197;1183713;0,3936
411179917;471933911;67959848;30992855;156506985;1115292;0,3968
416699190;479486321;69952580;32109208;161932325;1193722;0,4000
